reaction_id	namespace	accession
RHEA:25152	EC	2.6.1.57
RHEA:25315	KEGG_REACTION	R04467
RHEA:25315	EC	2.6.1.-
RHEA:27654	KEGG_REACTION	R08648
RHEA:27654	EC	2.2.1.6
RHEA:27694	KEGG_REACTION	R05070
RHEA:27694	EC	4.2.1.9
RHEA:32271	KEGG_REACTION	R10052
RHEA:32271	EC	1.1.1.85
RHEA:32715	KEGG_REACTION	R00994
RHEA:32715	EC	1.1.1.85
RHEA:33799	KEGG_REACTION	R03012
RHEA:33799	EC	1.1.1.23
RHEA:33803	KEGG_REACTION	R01163
RHEA:33803	EC	1.1.1.23
RHEA:34171	KEGG_REACTION	R10147
RHEA:34171	EC	4.3.3.7
RHEA:35331	KEGG_REACTION	R04199
RHEA:35331	EC	1.17.1.8
RHEA:42424	KEGG_REACTION	R03898
RHEA:42424	EC	4.2.1.35
RHEA:10152	KEGG_REACTION	R00150
RHEA:10152	EC	2.7.2.2
RHEA:10680	KEGG_REACTION	R01255
RHEA:10680	EC	5.1.1.4
RHEA:12232	KEGG_REACTION	R07226
RHEA:12232	EC	1.21.4.2
RHEA:12737	KEGG_REACTION	R02825
RHEA:12737	EC	1.21.4.1
RHEA:13101	KEGG_REACTION	R02914
RHEA:13101	EC	4.2.1.49
RHEA:17785	KEGG_REACTION	R00261
RHEA:17785	EC	4.1.1.15
RHEA:19169	KEGG_REACTION	R00220
RHEA:19169	EC	4.3.1.17
RHEA:19553	KEGG_REACTION	R00673
RHEA:19553	EC	4.1.99.1
RHEA:19597	KEGG_REACTION	R00552
RHEA:19597	EC	3.5.3.6
RHEA:21232	KEGG_REACTION	R01168
RHEA:21232	EC	4.3.1.3
RHEA:22108	KEGG_REACTION	R00996
RHEA:22108	EC	4.3.1.19
RHEA:22492	KEGG_REACTION	R02285
RHEA:22492	EC	3.5.3.8
RHEA:23660	KEGG_REACTION	R02288
RHEA:23660	EC	3.5.2.7
